,tokens_num,unknown_tokens_num
count,27505.0,27505.0
mean,354.22359570987095,24.85962552263225
std,469.1590662594112,44.70854935390955
min,1.0,0.0
25%,83.0,6.0
50%,145.0,11.0
75%,477.0,25.0
max,8885.0,1465.0
